Nome da Empresa;PORTE_ID;CNPJ;Data de Abertura da Empresa;Tempo Deslocamento;Distancia Deslocamento;Latitude;Longitude;Endereco;Distrito;Bairro;CEP;RAMO_ID;EXPEDIENTE_ID;Horário de Funcionamento;Telefone/Contato;Site/Redes Sociais
Algobon Têxtil;1;01.978.502/0001-54;18/07/1997;10;2,6;-235.247.750;-466.439.580;Rua da Graça, 765;Bom Retiro;Bom Retiro;01125-001;6;HC;SEGUNDA A SEXTA DAS 8:30 ÀS 17:00 ;(11) 3337 3244;https://algobon.webnode.com.br/
Express Ima;2;;;14;3;-235.327.933;-466.367.133;Rua João Teodoro, 66;Brás;Brás;01105-000;9;HC;Segunda a sexta das 8:00 às 19:00 e sábado das 8:00 às 16:00;(68) 3322-5450;https://expressima.com.br/
Fios & Linha Mercosul;1;17.930.475/0001-80;15/04/2013;7;2,2;-235.208.285;-466.459.965;Rua General Flores, 357;Bom Retiro;Bom Retiro;01129-010;10;HC;SEGUNDA A SEXTA DAS 7: ÀS 18:30 E SÁBADO DAS 7:00 ÀS 12:00;(11) 98911-8920;
Criativa Rendas E Tecidos Finos;1;22.556.111/0001-11;29/05/2015;12;2,9;-235.277.512;-466.423.088;Rua da Graça, 409;Bom Retiro;Bom Retiro;01125-001;10;HC;Seg. a Sex. / 8h as 17:45h;(11) 3221-0777;https://www.criativaaviamentos.com.br/
Mixmetais Aviamentos;1;05.596.997/0002-99;05/12/2024;12;2,8;-235.267.280;-466.427.943;Rua Júlio Conceição, 398;Bom Retiro;Bom Retiro;01125-001;10;HC;SEGUNDA A SEXTA DAS 8:00 ÀS 17:00 ;(11) 3351-7400;https://www.mixmetaisaviamentos.com.br/
Preview Aviamentos;1;47.188.382/0001-92;18/07/2022;12;2,5;-235.277.121;-466.432.198;Rua José Paulino, 756 - loja 11;Bom Retiro;Bom Retiro;01120-000;10;HC;SEGUNDA A SEXTA DAS 8:00 ÀS 17:30;(11) 4564-9443;https://www.instagram.com/previewaviamentos/
Casa Ferro Ltda;1;61.083.952/0001-00;11/07/1966;12;2,8;-235.271.811;-466.422.895;Rua da Graça, 466;Bom Retiro;Bom Retiro;01125-001;10;HC;SEGUNDA A SEXTA DAS 8:00 ÀS 17:00;(11) 3221-9822;https://www.casaferro.com.br/
Ile Aviamentos;1;14.294.964/0001-02;02/09/2011;12;3;-235.281.419;-466.418.168;Rua da Graça, 344;Bom Retiro;Bom Retiro;01125-000;10;HC;SEGUNDA A SEXTA DAS 8:00 ÀS 17:50;(11) 91978-3842;https://www.ilefashion.com.br/
Onix Metais;1;19.595.227/0001-55;27/01/2014;12;2,8;-235.268.462;-466.424.796;Rua da Graça, 504;Bom Retiro;Bom Retiro;01125-010;10;HC;SEGUNDA A SEXTA DAS 8:00 ÀS 17:20;(11) 96352-3172;https://onixmetais.com.br/
Le Sac Parfait;1;35.851.382/0001-41;26/12/2019;9;2,3;-235.306.342;-466.408.067;Rua da Graça, 62;Bom Retiro;Bom Retiro;01125-000;11;HC;SEGUNDA A SEXTA DAS 9:00 ÀS 17:00 E SÁBADO DAS 9:00 ÀS 15:00;(11) 920059013;https://lesacparfait.com.br/
Indústria De Plásticos Espada;2;62.232.236/0001-00;19/12/1969;7;2,1;-235.215.283;-466.459.942;Rua General Flores, 563;Bom Retiro;Bom Retiro;01129-010;12;HC;SEGUNDA A SEXTA DAS 8:00 ÀS 18:00;(11) 3331-4509;https://cabides.com.br/
Rei Das Gravatas;1;09.384.530/0001-55;19/02/2008;14;2,9;-235.317.037;-466.423.057;Rua José Paulino, 257;Bom Retiro;Bom Retiro;01120-001;17;HC;;(11) 99965-4862;https://reidasgravatas.com.br/
Rommanel - Brás;1;04.942.899/0001-12;08/03/2002;22;8,5;-235.355.674;-466.208.941;Rua João Teodoro, 1484;Brás;Brás;03009-000;20;HC;Segunda a sexta das 8:00 às 17:00 e sábado das 9:00 às 13:30;(11) 94291-9694;https://shop.rommanel.com.br/Sistema/401
Carlsons Produtos Industriais;2;62.954.987/0001-30;29/10/1970;6;1,1;-235.354.844;-466.478.812;Av. Rio Branco, 940;Santa Cecília;Santa Cecília;01206-001;40;HC;Seg. à Qui. 08:00 às 17:30hrs | Sex. até 17:00hs;(11) 3351-5000;https://carlsons.com.br/
Poli-Filtro;2;60.700.135/0001-91;31/05/1989;8;2,2;-235.230.080;-466.457.561;Rua General Flores, 401;Bom Retiro;Bom Retiro;01129-010;41;HC;SEGUNDA A SEXTA DAS 8:30 ÀS 18:00;(11) 2188-5499;https://www.polifiltro.com.br/
Made 1000;1;00.239.901/0001-30;10/10/1994;8;2,1;-235.220.661;-466.455.309;Rua General Flores, 490;Bom Retiro;Bom Retiro;01129-010;42;HC;SEGUNDA A SEXTA DAS 7:30 ÀS 17:30;(11) 3333-1000;
Vive La Vie Comercio E Confeccao Ltda;1;57.210.529/0001-57;09/09/2024;10;2,6;-235.274.832;-466.447.098;Rua dos Italianos, 238;Bom Retiro;Bom Retiro;01131-000;50;HC;SEGUNDA A SEXTA DAS 7:15 ÀS 17:15;(11) 3596-6380;https://www.instagram.com/laviemodas/
La Princesa Moda Feminina;1;09.445.058/0001-13;04/03/2008;9;2,4;-235.279.817;-466.456.906;Rua Anhaia, 245;Bom Retiro;Bom Retiro;01130-000;50;HC;SEGUNDA A SEXTA DAS 7:00 ÀS 15:00;(11) 933948108;https://www.laprincesamoda.com.br/
Antix Confeccoes Ltda;2;08.220.332/0002-74;15/04/2008;9;2,4;-235.278.292;-466.456.003;Rua Anhaia, 250;Bom Retiro;Bom Retiro;01130-000;50;HC;SEGUNDA A SEXTA DAS 8:00 ÀS 17:30;(11) 5192-2852;https://www.amoantix.com/
