RAMO_ID;SUB-RAMO_ID;Descricao;CNAE
1;1;Produtos Importados (Alimentícios);01/06/4729
2;2;Aço;01/02/4672
3;3;Artigos para Laboratórios;4646-0/01
4;3;Produtos Médicos;4646-0/01
5;4;Artigos Hospitalares;4646-0/02
6;5;Tecidos;01/09/4641
7;6;Componentes Eletrônicos;4617-6/00
8;6;Fios, Tecidos e afins;4617-6/00
9;6;Redirecionadora de Importação;4618-4/99
10;7;Armarinhos;4781-4/00
11;7;Bolsas;4781-4/00
12;7;Cabides;4781-4/00
13;7;Calçados;4781-4/00
14;7;Celulares;01/02/4751
15;7;Colchões;02/07/4754
16;7;Fogão e Peças para Fogão;01/07/4754
17;7;Gravatas;4781-4/00
18;7;Manequins;4781-4/00
19;7;Ótica;4774-1/00
20;7;Pedras, Jóias e Semijóias;4781-4/00
21;7;Relógios;4781-4/00
22;7;Sacaria;4781-4/00
23;7;Sistema de Aquecimento;01/02/4751
24;8;Molduras;4759-8/99
25;8;Presentes;4789-0/99
26;8;Produtos para Artesanato;4789-0/99
27;8;Produtos para Festas;4789-0/99
28;9;Ar Condicionado;4753-9/00
29;9;Refrigeração;4753-9/00
30;10;e-Esportes;4761-0/99
31;10;Esportes;01/06/4763
32;10;Instrumentos Musicais;4753-9/00
33;10;Produtos Audiovisuais (DVD / CD / DISCOS);4761-0/01
34;10;Produtos para Cinema;4761-0/99
35;11;Produtos para Piscinas;4759-8/99
36;12;Bombas;4744-0/99
37;12;Decoração;03/08/4759
38;12;Elétrica e Iluminação;4744-0/02
39;12;Ferragens;4744-0/01
40;12;Ferramentas;4744-0/03
41;12;Filtros;4744-0/99
42;12;Material de Construção;4744-0/01
43;6;Rolamentos;
44;12;Pintura;4744-0/04
45;13;Papelaria e Materiais de Escritório;4761-0/03
46;14;Acessórios;4781-4/00
47;14;Brechó;4781-4/00
48;14;Chapelaria;4781-4/00
49;14;Produtos de Beleza;4772-5/00
50;14;Roupas Femininas;4781-4/00
51;14;Roupas Infantis;4781-4/00
52;14;Roupas Íntimas;4781-4/00
53;14;Roupas Masculinas;4781-4/00
54;14;Todos os Segmentos;4781-4/00
55;14;Uniformes;4781-4/00
56;15;Moda Fitness;4781-4/00
57;15;Moda Praia;4781-4/00
58;16;Produtos Pet;4789-0/01
59;16;Roupas Pet;4789-0/01
60;17;Banca de Jornais;4761-0/04
61;17;Livraria;4761-0/02
63;17;Sebo;4761-0/02
64;18;Equipamentos de Proteção;4759-8/99
65;19;Componentes Eletrônicos e Robótica;01/02/4751
66;19;Equipamentos Audiovisuais;01/02/4751
67;20;Cozinha Industrial e Restaurantes;01/07/4754
68;20;Eletrodomésticos;01/07/4754
69;20;Embalagens e Produtos Plásticos;4789-0/99
70;20;Essências;4789-0/99
71;20;Fitas Adesivas;4789-0/99
72;20;Móveis;02/07/4754
73;20;Produtos de Limpeza;4789-0/99
74;20;Variedades;4789-0/99
75;21;Acessórios para Veículos;03/07/4530
76;21;Concessionária de Veículos;01/01/4511
77;21;Veículos Autopropelidos;01/01/4511
78;22;Biblioteca;9102-3/00
79;23;Energia Fotovoltaica;01/05/3511
80;24;Agronegócio;6422-3/00
81;24;Indústria Química;6422-3/00
82;25;Alfaiataria;1412-0/00
83;25;Etiquetas;1413-8/00
84;25;Malharia;1421-1/00
85;25;Fios e Tecidos;1311-2/00
86;26;Bombas, Pistão e Ar Comprimido;2819-0/99
87;26;Máquinas de Costura;2851-8/00
88;26;Máquinas Gráficas;2829-1/99
89;26;Mineirais e Metais Pesados;0729-4/99
90;26;Peças para Fogão;2819-0/99
91;26;Válvulas;2819-0/99
93;27;Moldes;2229-3/99
94;28;Fábrica de Material Odontológico;03/07/3250
95;29;Dispositivos Médicos;02/07/3250
96;30;Associação de Classe;9492-8/00
97;31;Associação Cultural;9493-0/00
98;32;Religiosa;9491-1/00
99;33;Academia de Ginástica e Musculação;9311-5/00
100;33;Artes Marciais;9311-5/00
101;34;Depósitos/Storages;01/07/5211
102;35;Arquitetura e Design de Interiores;7111-5/00
103;35;Construtora;4120-4/00
104;35;Engenharia;7112-3/00
