SUB-RAMO_ID;RAMO-PRINCIPAL_ID;Descricao
1;1;Comércio de Alimentos
2;2;Materiais de Construção
3;2;Medicina
4;2;Saúde
5;2;Vestuário
6;3;Importadora/Exportadora
7;4;Acessórios
8;4;Artesanato e Criatividade
9;4;Climatização
10;4;Cultura e Entretenimento
11;4;Lazer
12;4;Materiais de Construção
13;4;Materiais de Escritório
14;4;Moda e Vestuário
15;4;Moda Praia e Fitness
16;4;Pet Shop
17;4;Produtos Culturais e Educacionais
18;4;Segurança e Vigilância
19;4;Tecnologia
20;4;Utilidades Domésticas
21;4;Veículos
22;5;Biblioteca
23;6;Energia Solar
24;7;Empresarial
25;8;Confecção e Têxtil
26;8;Máquinas e Equipamentos
27;8;Plásticos e Embalagens
28;8;Saúde
29;8;Tecnologia
30;9;Classe
31;9;Cultura e Entretenimento
32;9;Social
33;10;Academias
34;11;Armazenamento
35;11;Arquitetura e Engenharia
36;11;Atendimento
37;11;Comunicação e Publicidade
38;11;Contabilidade e Administração
39;11;Distribuidor
40;11;Editorial e Publicação
41;11;Empresarial
42;11;Estacionamento
43;11;Financeiro
44;11;Impressão
45;11;Jurídico
46;11;Jurídico
47;11;Locação de Espaços
48;11;Manutenção
49;11;Público
50;11;Segurança e Vigilância
51;11;Tecnologia
52;11;Telecomunicações
53;11;Transporte e Logística
54;11;Turismo
55;11;Utilidade Pública
56;2;Utilidades Domésticas
